#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1197255300.45 55876.8226366 -0.000155874557095 0.000146867573046 -0.0022740108849 0.00214735240016
1197177176.41 55900.0325024 8.24280505185e-05 0.000240056953494 0.0012046136397 0.00351227038928
1197099052.37 55923.2453975 0.000349090900272 3.76770767178e-05 0.00511162783941 0.000550437375432
1197020928.33 55946.4613227 0.000270760268904 0.000125676051244 0.00396238132638 0.00183722611339
1196942804.29 55969.6802784 4.99665184179e-05 0.000429710327244 0.000730043607293 0.0062958358002
1196864680.24 55992.9022654 0.000408513355069 0.000276860512455 0.0059843404058 0.00405183509356
1196786556.2 56016.1272841 0.00042801888776 0.000177803279494 0.00627097606443 0.00260025223157
1196708432.16 56039.3553351 -0.000654670526274 0.000641043933629 -0.00951625164935 0.00940675950266
1196630308.12 56062.5864192 -0.00188577454537 0.00204464254803 -0.0271698813446 0.0303176369536
1196552184.08 56085.8205368 -0.00179153587669 0.0018961868158 -0.0258294899288 0.0280851440892
1196474060.04 56109.0576885 -0.000104979902972 0.000115205639538 -0.00153209124425 0.00168403287899
1196395936.0 56132.297875 0.000840631197207 0.000980346338048 0.012353684499 0.0144217715119
1196317811.96 56155.5410969 0.000220385758439 0.000378522980628 0.00322399690283 0.00554378921282
1196239687.91 56178.7873547 -7.5257034041e-05 0.000370859635752 -0.00109854973814 0.00543124769583
1196161563.87 56202.036649 0.0001743442117 0.000413507789664 0.00254960117074 0.0060577262724
1196083439.83 56225.2889804 9.31917893467e-05 8.43828552381e-05 0.00136202340981 0.00123319901764
1196005315.79 56248.5443496 -0.000692064641044 0.00103320494972 -0.0100570858542 0.0152053100745
1195927191.75 56271.8027571 -0.00111348496284 0.00116289049234 -0.0161319856318 0.0171302814524
1195849067.71 56295.0642034 -0.000219675697736 4.71490961175e-05 -0.00320329869491 0.000688865037819
1195770943.67 56318.3286893 0.000102686288301 9.90053888799e-05 0.0015008922858 0.00144705225693
1195692819.63 56341.5962154 -0.000424924946856 0.000810565191226 -0.00618698758097 0.011909201095
1195614695.58 56364.8667821 -0.000412479275838 0.000180847776253 -0.00600631935971 0.00264483485983
1195536571.54 56388.1403901 -0.000603771011811 0.000270963663502 -0.00877961736524 0.00396536376901
1195458447.5 56411.41704 -0.000489897851367 0.000155324652319 -0.00712964044636 0.00227114396732
1195380323.46 56434.6967324 6.81585224811e-05 0.000120656150431 0.000995973120327 0.00176377670884
1195302199.42 56457.9794678 -0.000636335171293 0.000963308513137 -0.00925095896833 0.0141693456618
1195224075.38 56481.265247 -0.00155616004486 0.00238832216357 -0.0224737836775 0.0355051322397
1195145951.34 56504.5540704 -0.00102932541631 0.00119901936628 -0.0149217461315 0.0176672165542
1195067827.3 56527.8459387 -0.000155700778123 2.18474368097e-06 -0.00227147854861 3.19093984016e-05
1194989703.26 56551.1408525 -7.44763819966e-05 0.000288268195252 -0.00108716051568 0.00421913844878
1194911579.21 56574.4388124 4.2977699195e-05 0.000298755392101 0.000627900309362 0.00437296679354
1194833455.17 56597.7398189 4.27609193139e-05 3.56083403718e-06 0.000624732185337 5.20084872162e-05
1194755331.13 56621.0438727 -0.000730040366761 0.000542005341236 -0.010606032749 0.00794766278303
1194677207.09 56644.3509743 -0.00107527000364 0.0010253436351 -0.0155826245999 0.0150887406527
1194599083.05 56667.6611245 -0.000130231841467 0.000154144147697 -0.0019002715786 0.00225386326138
1194520959.01 56690.9743236 0.00102347531356 0.00118018755924 0.0150610387399 0.0173873086367
