Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
J103932.12+461205.3_spec.txt	0	220	215	2.00014	0.00930298	0.01	0.00730954	0.107028	0.541871	6.11673	0.576498	6.3101	0	0	128.603	2.89925	0.1	0	1.50726	23.6	0	0	13.9077	63.0166	72.6199	154.592	109.099	166.168	0.00570125	0.0086956	0.435849	0.593602
J105327.25+205835.9_spec.txt	0	220	212	14003.7	66.0553	0.01	0.13361	3.75448e+10	6.54841	4.53097e+13	1.79884	3.58893e+10	0.0521824	7.70532e+11	132.455	2.11116e+12	132.488	5.52394e+10	1.83687	2.16845e+12	4.11228	2.04547e+13	80.7565	3.89231e+12	66.1225	1.26022e+13	74.9417	9.99626e+12	0.184788	2.90353e+11	9.86789	5.9181e+12
J110017.98+100256.8_spec.txt	1	220	212	3.48086	0.0164192	0.01	424729	9.91003e+08	0.272434	2.64606	0.133882	6.90215	0.0308866	0.112442	115.157	1735.96	123.349	2.03283	-14.812	1881.31	3.43083	3.01047	-7.02763	43.2281	90.5936	22.4072	175.829	29.4794	0.0566739	0.0097463	6.55663	0.751727
J111113.19+284147.0_spec.txt	0	220	215	1.48215	0.0068937	0.01	0.00497188	0.0546457	0.107398	0.956104	0.755273	6.25988	0	0	133.468	46.9746	0.1	0	3.03452	52.1978	0	0	51.1652	198.643	145.461	392.672	236.84	403.034	0.003585	0.00637253	0.567081	0.83498
J111916.54+623925.7_spec.txt	2	220	215	3.71195	0.0172649	0.01	7.43452e+07	6.04631e+11	0.416989	0.943005	0.0598612	10.6099	0	0	85.9598	14007.6	0.1	0	-36.6235	14052.1	0	0	-91.9575	72.676	90.352	430.833	143.631	315.626	0.0105299	0.0272327	1.05339	2.0994
J112030.04+273610.7_spec.txt	0	220	215	40.5249	0.188488	0.01	0.0269173	0.0393682	0.618032	1.24618	0.845113	1.66698	0	0	123.622	0.666437	0.1	0	1.55567	2.21787	0	0	-79.5368	12.4143	62.1141	30.6515	90.6822	31.0733	0.0239174	0.00929653	1.53891	0.506792
J112332.04+235047.8_spec.txt	0	220	212	3.08012	0.0145289	0.01	0.00154039	0.0154858	0.875818	4.19359	0.680919	3.60169	6.21418e-05	0.00416543	32.4475	9.51923	32.9752	5.58536	1.55031	18.6241	10.9962	67.0034	-1906.53	170.019	33.0041	121.354	180.027	468.546	0.00378397	0.0112747	0.252572	0.654874
J120231.12+163741.8_spec.txt	0	220	212	2.29107	0.0108069	0.01	0.00443449	0.00613252	0.0872331	0.108182	0.0898495	0.110874	2.77342e-13	1.30358e-11	120.788	9.80504	121.204	7.65829	14.0717	22.8813	9.473	14.6894	-185.757	206.36	1321.52	474.383	1521.57	435.633	0.00409477	0.00299957	4.00691	1.79658
J120551.46+203119.0_spec.txt	0	185	180	0.414132	0.00230073	0.01	0.000886187	0.542834	6.33144	1.03159e+18	0.921177	403.083	0	0	115.143	5.5176e+15	0.1	0	1.07547	5.5176e+15	0	0	360.03	8.58209e+16	36.4724	6.47391e+16	49.6098	5.60253e+16	0.000877003	2.44983e+12	0.0322644	1.60863e+14
J120855.60+464113.8_spec.txt	0	220	215	0.578566	0.00269101	0.01	0.00279485	0.0980969	0.503428	15.6767	1.06471	23.1259	0	0	130.264	23.3699	0.1	0	1.1799	46.49	0	0	43.7163	151.307	53.0162	377.511	80.9579	348.131	0.0021736	0.0105753	0.121971	0.487505
J122513.09+321401.6_spec.txt	0	220	212	0.665034	0.00313695	0.01	0.00216321	0.0136645	0.621117	4.01366	1.35816	29.947	0.0704826	20.7892	139.846	58.7701	140.678	104.176	2.19545	21.2421	3.92252	184.715	175.566	53.4462	49.7242	82.7629	118.998	188.123	0.00776946	0.0090264	0.505838	0.547113
J123200.55+331747.6_spec.txt	0	185	177	0.184052	0.00103984	0.01	0.000865954	0.018002	0.878782	12.0777	0.473975	4.80619	0.733693	31.9594	91.1049	14.6536	91.4097	11.6701	2.87026	41.7114	1.74958	45.2738	-39.9882	124.999	132.813	242.523	164.989	251.703	0.00323876	0.00958517	0.300553	0.615969
J123905.13+174457.5_spec.txt	0	220	212	1.12862	0.00532366	0.01	0.00209673	0.644432	1.13666	40.4627	0.71256	77.9864	0.0435447	69.3549	130.453	58.0737	133.028	4737.49	2.15134	74.5023	1.1396	842.728	45.1154	210.439	73.9653	508.887	98.8365	3138.02	0.00241993	0.012671	0.17924	0.92566
J124707.32+490017.9_spec.txt	1	185	177	0.314296	0.00177568	0.01	0.029454	19.1455	0.244481	4.36922	0.0870103	4.77716	0.215848	13.1787	69.0763	1415.31	75.6248	29.6855	-6.94615	1606.67	1.80459	48.7238	-262.957	506.857	290.343	1237.13	404.363	1094.48	0.00157034	0.00565602	0.400277	1.11205
J125433.26+185602.2_spec.txt	1	185	177	2.35665	0.0133144	0.01	0.00102639	0.176652	1.5911	41.7168	0.0163406	1.03534	20.8681	680.641	32.6537	3853.15	32.1167	10.9547	-0.838722	3872	2.11605	58.3294	11.5483	21069.7	1230.05	33976.2	1825.49	51785.5	10.3986	2212.47	13299.1	2.6776e+06
J130125.26+291849.5_spec.txt	0	220	212	0.46573	0.00219684	0.01	0.000244013	0.014292	0.616037	8.10028	1.38579	51.4262	1.24474	121.674	134.618	9.09373	137.667	15.4346	7.52677	9.02621	0.823325	16.5724	83.7312	215.269	251.161	434.117	278.972	419.789	0.00194312	0.00581477	0.314953	0.736421
