,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
67,J155902.70+230830.4_spec.txt,0.00166983,0.137457,2.64406,0.0,132.11,0.1,8.79908,0.0,68.5968,346.47,436.328,0.00166868,0.578424
68,J160246.39+524358.3_spec.txt,0.00447419,0.0512926,0.274673,0.0,84.4056,0.1,12.1192,0.0,-216.225,477.17,713.374,0.00401983,1.99376
69,J160332.08+171155.3_spec.txt,0.0157598,0.704182,0.702991,0.349245,93.3964,91.2156,1.01657,0.938319,-4.54555,45.9259,69.5904,0.0197914,0.966589
70,J160338.06+155402.5_spec.txt,0.00730484,0.273139,0.234415,0.000369239,93.1321,94.0388,5.5746,4.60389,-31.6318,225.566,443.291,0.012856,3.28399
71,J160952.60+133148.0_spec.txt,0.00127519,7.00293,0.552166,0.103924,129.6,129.221,7.60224,1.75216,40.2486,266.382,286.734,0.00518619,0.786622
72,J161217.62+282546.4_spec.txt,0.0041539,0.468978,0.610404,0.0,92.9177,0.1,1.95509,0.0,-5.685,75.8057,111.661,0.00358647,0.283035
73,J161740.53+350015.1_spec.txt,1.01706e-08,6.71458,1.37202,130165.0,116.326,116.807,3.32563,0.633842,-200.103,111.228,122.299,0.00289896,0.198877
74,J163804.02+264329.1_spec.txt,0.00203651,0.291007,0.397771,0.0326006,130.497,129.465,1.81943,3.85967,54.9946,70.4878,244.86,0.00418987,0.490056
75,J163844.80+275439.1_spec.txt,0.0188178,0.499548,0.0825751,0.0,98.3388,0.1,-1.41902,0.0,-428.298,133.173,230.348,0.00497011,0.760369
76,J163956.07+112757.4_spec.txt,0.0468116,0.930349,1.0564,0.0,126.386,0.1,1.05885,0.0,-27.0698,41.9347,61.7537,0.0405571,1.76927
77,J170815.25+211117.7_spec.txt,0.361255,0.263599,0.0722587,0.0,118.456,0.1,-9.27442,0.0,33.7046,165.37,265.809,0.00535605,0.984153
0,0105-008_gmrt.freq,0.259421,0.143033,0.245515,0.0,89.2033,0.1,0.119919,0.0,-26.3311,15.5189,24.2077,0.0725857,1.21947
1,0201+113_gmrt.freq,0.0198501,1.61608,0.534443,0.0,33.1157,0.1,1.34277,0.0,-2.86883,21.0785,31.1928,0.0177247,0.387628
2,0235+164_gmrt.freq,20987000.0,0.362279,0.0156852,0.0,-79.2037,0.1,-148.094,0.0,-46.789,22.4234,40.97,0.000331638,0.00909925
3,0237-233_gbt.freq,712.853,7.28047,0.26742,0.0,35.8276,0.1,-4.24413,0.0,-4.36157,1.50506,3.0744,0.361731,0.69997
4,0311+430_gmrt.freq,0.700656,0.130508,0.0292852,0.0,212.535,0.1,-12.6263,0.0,62.1434,56.75,94.8433,0.0608777,3.92447
5,0438-436_gbt.freq,2.13249,0.89439,0.104001,0.0,20.5596,0.1,-6.43135,0.0,21.2084,30.9768,54.992,0.0400422,1.46885
6,0458-020_highz_gbt.freq,0.180385,0.25289,0.267191,0.175095,58.8896,61.3118,7.92187,0.953565,-2.36398,27.3833,34.8201,0.338224,8.12218
7,0458-020_lowz_gbt.freq,0.0620011,0.400464,0.318328,0.0214236,114.508,116.362,0.261438,4.04271,0.721836,5.28178,9.95556,0.0524575,0.341995
8,0738+313_z0.0912_gmrt.freq,0.902528,0.155251,0.177186,0.0,66.053,0.1,-0.0404756,0.0,9.32122,4.02873,6.20327,0.223138,0.964942
9,0738+313_z0.2212_wsrt.freq,0.24091,0.0836185,0.155896,0.0,499.648,0.1,4.9751,0.0,11.6834,5.02759,7.80759,0.15019,0.810776
10,0801+303_gmrt.freq,0.0082977,4.64264,0.0766475,0.0,36.3355,0.1,10.2408,0.0,31.1372,74.639,102.955,0.00816803,0.615194
11,0827+243_gmrt.freq,0.00562714,0.206082,0.340326,0.0330207,51.909,42.0013,2.68152,0.995074,10.9689,36.0383,55.4387,0.00529559,0.203751
12,0834-20_sma+20.jpg.dat,3.74058,0.868002,0.162414,0.103594,8.48628,12.569,-3.74639,3.23202,4.92366,80.4011,107.375,0.125422,9.49502
13,0952+179_gmrt.freq,0.0143163,0.216775,0.249874,0.0,71.5304,0.1,8.49196,0.0,2.83038,8.68664,11.2947,0.0142406,0.124066
14,1127-145_gmrt.freq,0.480712,0.0821876,0.329726,0.0,62.7581,0.1,9.17882,0.0,5.08386,41.7234,60.5375,0.44734,19.188
15,1142+052_gmrt.freq,0.00341124,0.361438,0.285431,0.0778413,52.7629,49.0195,13.7343,0.980131,-15.6399,107.465,122.182,0.00645739,0.565705
16,1157+014_gbt.freq,0.0401326,4.84728,0.371008,0.0,32.1869,0.1,2.21965,0.0,6.03479,17.0393,23.5406,0.0393601,0.676665
17,1229-021_gmrt.freq,1143790000.0,0.545381,0.0715462,0.0,7.75282,0.1,-31.0245,0.0,-0.792537,17.7661,28.4194,0.097934,1.93687
18,1243_gmrt.vel,0.0295504,0.691325,0.201494,0.0,56.0733,0.1,5.36571,0.0,-0.00916807,12.8135,17.2938,0.0291053,0.375757
19,1331+305_gbt.freq,51656900000.0,0.0180288,0.0935833,0.0,386.751,0.1,-125.222,0.0,9.01769,8.71715,13.5813,2.56036,24.2789
20,1429+400_gbt.freq,0.0224668,0.386151,0.269679,0.0,124.87,0.1,15.9156,0.0,-383.545,26.2467,29.3377,0.0224668,0.58968
21,1430-kpec09.dat,2.44102,0.037812,0.998731,0.0,187.245,0.1,42.639,0.0,-61.1892,37.6781,44.8978,2.441,91.9725
22,1610-77_sma+20.jpg.dat,0.0267674,0.348984,1.36542,0.0965641,22.3575,21.3829,1.56133,3.75599,-13.1628,16.3764,80.7336,0.0538372,1.95936
23,1621+074_gmrt.freq,0.0329512,0.187907,4.52881,0.0,28.2289,0.1,-1.32157,0.0,7.32889,16.0703,31.0491,0.00695915,0.13616
24,1629+120_gmrt.freq,4.73985,0.148375,0.0269338,0.0511087,37.8356,72.0051,-26.8426,1.30484,-7.10914,11.1,23.4776,0.0817135,1.15534
