Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
J130125.26+291849.5_spec.txt	0	220	212	245.741	1.15915	0.00043534	0.000244013	0.00066987	0.616037	0.379664	1.38579	2.41037	1.24474	5.70292	134.618	0.426227	137.667	0.723426	7.52677	0.423062	0.823325	0.776755	1.38754e+09	43364.2	1.16218e+06	87449.4	1.29087e+06	84563	0.00194312	0.00025314	1457.36	148.346
J130132.61+463402.7_spec.txt	0	220	212	291.709	1.37599	0.000339974	0.00115723	0.0724359	0.725933	16.7112	4.15769	9.42476e+07	0.000435699	1268.06	72.2872	502902	71.5113	5448.14	1.66841	502909	8.69799	4.19969e+06	1.39229e+09	5.54997e+10	240705	1.193e+12	329940	8.48209e+11	0.00150276	11456	346.45	2.63616e+08
J130556.95+395621.5_spec.txt	1	220	212	704.132	3.32138	0.000775497	0.0584591	8.42796e+06	6.72666	6.54883e+10	0.610063	1.47605e+06	6.16298	7.12837e+08	53.7748	1.16214e+09	54.6829	3.9857e+07	-0.994613	1.14644e+09	4.98303	1.51161e+08	1.237e+09	5.03811e+13	122514	4.96255e+11	233410	1.07025e+14	0.00482093	6409.77	687.555	2.66929e+11
J131535.10+620728.4_spec.txt	1	220	212	382.266	1.80314	0.000370801	0.00377972	0.0238575	0.68277	0.484237	0.125035	0.0854617	0.0498308	0.134081	127.06	13.2745	130.949	1.29353	-1.00937	14.7408	3.41461	2.12677	1.37731e+09	34254.3	1.25735e+06	46552.1	1.52033e+06	71684.2	0.00265139	0.000186264	2387.19	142.982
J131739.20+411545.6_spec.txt	2	220	215	279.436	1.2997	0.0003376	5.11544e+08	1.26356e+11	0.0193832	0.0961738	0.399955	0.0525903	0	0	223.569	1264.31	0.1	0	-120.775	1264.78	0	0	1.3803e+09	642148	593159	1.59062e+06	1.06716e+06	706794	0.00552507	0.00488422	3969	148.635
J132035.40+340821.7_spec.txt	0	220	215	570.068	2.65148	0.000323042	0.016202	0.00122903	0.182825	0.0156204	0.120196	0.0109263	0	0	95.2111	0.173629	0.1	0	7.07418	0.537445	0	0	1.22833e+09	6590.81	1.2358e+06	16367	1.82492e+06	17377	0.013966	0.000139854	17982.8	153.043
J132513.37+395553.2_spec.txt	0	220	215	282.968	1.31613	0.000324271	0.00140309	0.00101576	0.796997	0.843627	0.0226283	0.0127974	0	0	94.07	15.2018	0.1	0	10.1946	15.4138	0	0	1.22735e+09	251169	2.4869e+06	478223	4.25829e+06	450403	0.00100355	0.000121877	2765.43	251.276
J133455.94+134431.7_spec.txt	0	220	212	244.01	1.15099	0.00122633	0.0035473	1.40147	1.45735	192.396	0.880106	2.78479	0.245278	48.2403	121.49	145.088	119.997	1605.08	2.05034	150.897	1.1226	66.1464	1.38878e+09	3.6462e+06	319405	4.08238e+07	416434	2.22867e+06	0.00541721	0.00159371	1651.11	33969.3
J133817.24+481629.7_spec.txt	0	220	212	385.578	1.81876	0.000618854	0.00107056	0.000531804	0.466281	0.675175	2.89725	2849.82	0.00525232	0.0526787	137.642	56.2829	138.079	3.0488	4.2445	56.5285	4.17781	8.38898	1.38167e+09	3.3664e+06	851615	6.07111e+06	944190	6.36418e+06	0.00240741	0.000470632	1387.91	10963.3
J134035.20+444817.3_spec.txt	0	220	212	275.866	1.30125	0.000316562	1.14422e-05	0.0425187	1.37176	22.7415	4.4015	1.01151e+08	363.405	1.3528e+06	90.8455	644525	89.5499	5.4396	2.09845	644525	0.873045	6.6659	1.38512e+09	3.57307e+10	160913	2.37325e+11	241933	1.98971e+11	0.010842	22291.9	1870.52	9.41491e+08
