#      nu1       flav
#
1082.469200 0.002597 
1082.477330 -0.000459 
1082.485470 0.001923 
1082.493610 -0.001363 
1082.501750 0.001344 
1082.509890 -0.000504 
1082.518020 0.001745 
1082.526160 0.000082 
1082.534300 0.001163 
1082.542440 -0.002699 
1082.550580 -0.003603 
1082.558710 -0.012150 
1082.566850 -0.019205 
1082.574990 -0.012308 
1082.583130 -0.007555 
1082.591270 -0.006922 
1082.599400 -0.003641 
1082.607540 -0.003589 
1082.615680 -0.004469 
1082.623820 -0.004612 
1082.631960 -0.007634 
1082.640090 -0.006216 
1082.648230 -0.002699 
1082.656370 -0.001240 
1082.664510 -0.001244 
1082.672650 0.000807 
1082.680780 0.000869 
1082.688920 -0.000587 
1082.697060 -0.000608 
1082.705200 0.000298 
1082.713340 0.001056 
1082.721470 -0.001156 
1082.729610 -0.002049 
1082.737750 -0.000713 
1082.745890 0.001539 
1082.754030 -0.001954 
1082.762160 -0.001712 
1082.770300 -0.003076 
1082.778440 -0.000606 
1082.786580 -0.000604 
1082.794720 -0.001134 
1082.802850 -0.001603 
1082.810990 -0.002018 
1082.819130 -0.000278 
1082.827270 -0.004828 
1082.835410 -0.003390 
1082.843540 -0.001430 
1082.851680 -0.002982 
1082.859820 -0.000359 
1082.867960 0.000488 
1082.876100 0.001475 
1082.884230 -0.002156 
1082.892370 -0.001773 
1082.900510 -0.000583 
1082.908650 -0.003660 
1082.916790 -0.003301 
1082.924920 0.001013 
1082.933060 -0.000175 
1082.941200 0.000095 
1082.949340 0.002003 
1082.957480 0.000418 
1082.965610 0.002826 
1082.973750 -0.001480 
1082.981890 -0.004508 
1082.990030 0.000614 
1082.998170 0.002081 
1083.006300 0.004657 
1083.014440 -0.001268 
1083.022580 0.003233 
1083.030720 0.004489 
1083.038860 -0.000863 
1083.046990 -0.002394 
1083.055130 -0.001266 
1083.063270 -0.003318 
1083.071410 -0.004338 
1083.079550 -0.004712 
1083.087690 -0.002539 
1083.095820 -0.001210 
1083.103960 -0.000678 
1083.112100 0.001577 
1083.120240 -0.000845 
1083.128380 -0.000443 
1083.136510 -0.001045 
1083.144650 -0.000443 
1083.152790 -0.002838 
1083.160930 0.002043 
1083.169070 -0.000297 
1083.177200 -0.002566 
1083.185340 0.000549 
1083.193480 -0.000163 
1083.201620 0.001945 
1083.209760 -0.002369 
1083.217890 0.000621 
1083.226030 0.000684 
1083.234170 -0.000739 
1083.242310 -0.000698 
1083.250450 0.001412 
1083.258580 -0.004304 
1083.266720 -0.000611 
1083.274860 -0.002452 
1083.283000 0.001399 
1083.291140 -0.004856 
1083.299270 0.001488 
1083.307410 -0.003430 
1083.315550 0.004917 
1083.323690 -0.010471 
1083.331830 0.192266 
1083.339960 0.038931 
1083.348100 0.002463 
1083.356240 0.042071 
1083.364380 0.025631 
1083.372520 0.002070 
1083.380650 -0.001231 
1083.388790 0.000041 
1083.396930 -0.001554 
1083.405070 0.002540 
1083.413210 -0.004118 
1083.421340 -0.000516 
1083.429480 -0.000354 
1083.437620 -0.001645 
1083.445760 -0.001376 
1083.453900 -0.001058 
1083.462030 -0.002091 
1083.470170 -0.001042 
1083.478310 -0.001263 
1083.486450 -0.002476 
1083.494590 -0.000595 
1083.502720 0.000003 
1083.510860 -0.000103 
1083.519000 -0.000122 
1083.527140 0.000759 
1083.535280 0.000057 
1083.543410 -0.001212 
1083.551550 0.001950 
1083.559690 -0.000303 
1083.567830 0.000334 
1083.575970 -0.000255 
1083.584100 0.000200 
1083.592240 -0.001812 
1083.600380 0.000039 
1083.608520 0.001310 
1083.616660 -0.000427 
1083.624790 -0.001916 
1083.632930 0.001703 
1083.641070 -0.002292 
1083.649210 -0.002623 
1083.657350 -0.001883 
1083.665480 -0.000707 
1083.673620 -0.000671 
1083.681760 0.000615 
1083.689900 -0.000190 
1083.698040 0.000169 
1083.706170 0.000443 
1083.714310 -0.000924 
1083.722450 -0.000460 
1083.730590 -0.002241 
1083.738730 0.000231 
1083.746860 0.000830 
1083.755000 0.000075 
1083.763140 0.000693 
1083.771280 -0.000528 
1083.779420 -0.000531 
1083.787550 0.000365 
1083.795690 0.001189 
1083.803830 -0.001234 
1083.811970 0.000621 
1083.820110 0.000514 
1083.828240 0.001233 
1083.836380 -0.001613 
1083.844520 -0.000027 
1083.852660 -0.000557 
1083.860800 0.000147 
1083.868940 0.000371 
1083.877070 0.000520 
1083.885210 -0.000283 
1083.893350 -0.001211 
1083.901490 0.002515 
1083.909630 -0.000373 
1083.917760 0.001458 
1083.925900 -0.001111 
1083.934040 -0.001691 
1083.942180 -0.001185 
1083.950320 -0.000220 
1083.958450 -0.001241 
1083.966590 0.001134 
1083.974730 -0.000293 
1083.982870 -0.003809 
1083.991010 -0.000474 
1083.999140 -0.000256 
1084.007280 0.002451 
1084.015420 -0.001110 
1084.023560 -0.000958 
1084.031700 0.000460 
1084.039830 -0.000275 
1084.047970 0.001778 
1084.056110 -0.000607 
1084.064250 0.001738 
1084.072390 -0.000117 
1084.080520 -0.001839 
1084.088660 -0.001582 
1084.096800 -0.001303 
1084.104940 -0.001470 
1084.113080 -0.001277 
1084.121210 0.002187 
1084.129350 0.000081 
