#      nu2       flav
#
1315.807475 -0.000643 
1315.811541 -0.001939 
1315.815608 0.000256 
1315.819674 -0.002335 
1315.823741 0.000149 
1315.827808 0.000237 
1315.831874 0.000336 
1315.835941 0.001193 
1315.840007 0.001482 
1315.844074 -0.000459 
1315.848141 0.000607 
1315.852207 -0.002896 
1315.856274 -0.000903 
1315.860341 -0.000617 
1315.864408 0.002774 
1315.868474 0.000187 
1315.872541 -0.002648 
1315.876608 0.001844 
1315.880675 -0.000748 
1315.884742 0.000345 
1315.888809 0.001723 
1315.892876 0.000448 
1315.896943 -0.000804 
1315.901010 -0.000544 
1315.905077 -0.003053 
1315.909144 -0.000889 
1315.913211 0.000326 
1315.917278 -0.001382 
1315.921345 -0.001602 
1315.925412 -0.001715 
1315.929480 0.000518 
1315.933547 -0.001086 
1315.937614 -0.002405 
1315.941681 0.000699 
1315.945748 0.000213 
1315.949816 0.001835 
1315.953883 0.000031 
1315.957950 0.002681 
1315.962018 0.000428 
1315.966085 0.001079 
1315.970153 -0.000231 
1315.974220 -0.002055 
1315.978288 0.001124 
1315.982355 -0.000129 
1315.986423 -0.000381 
1315.990490 -0.001061 
1315.994558 -0.003715 
1315.998625 0.001851 
1316.002693 -0.002614 
1316.006761 0.001419 
1316.010828 -0.000582 
1316.014896 -0.001344 
1316.018964 -0.000642 
1316.023032 0.002621 
1316.027099 0.000285 
1316.031167 -0.000740 
1316.035235 -0.003297 
1316.039303 0.002950 
1316.043371 0.001448 
1316.047439 -0.001103 
1316.051507 0.000520 
1316.055575 0.001880 
1316.059643 -0.000328 
1316.063711 0.000647 
1316.067779 -0.000081 
1316.071847 0.001708 
1316.075915 -0.001437 
1316.079983 -0.001955 
1316.084051 -0.000906 
1316.088119 -0.001491 
1316.092187 -0.002844 
1316.096256 0.000779 
1316.100324 -0.001657 
1316.104392 -0.002674 
1316.108460 -0.003124 
1316.112529 -0.000095 
1316.116597 -0.003692 
1316.120665 0.000199 
1316.124734 -0.000721 
1316.128802 -0.000452 
1316.132871 -0.003997 
1316.136939 -0.001449 
1316.141008 0.000119 
1316.145076 -0.003774 
1316.149145 -0.000597 
1316.153213 -0.000693 
1316.157282 -0.001267 
1316.161350 -0.000519 
1316.165419 -0.004411 
1316.169488 0.000565 
1316.173556 -0.005479 
1316.177625 -0.007539 
1316.181694 -0.006197 
1316.185763 -0.008470 
1316.189831 -0.012119 
1316.193900 -0.009360 
1316.197969 -0.005991 
1316.202038 -0.006366 
1316.206107 -0.008540 
1316.210176 -0.013330 
1316.214245 -0.016079 
1316.218314 -0.018330 
1316.222383 -0.026705 
1316.226452 -0.033709 
1316.230521 -0.043623 
1316.234590 -0.053740 
1316.238659 -0.064167 
1316.242728 -0.071529 
1316.246797 -0.070599 
1316.250866 -0.073535 
1316.254936 -0.075577 
1316.259005 -0.077927 
1316.263074 -0.078802 
1316.267143 -0.071721 
1316.271213 -0.069167 
1316.275282 -0.067381 
1316.279351 -0.064879 
1316.283421 -0.071728 
1316.287490 -0.077513 
1316.291559 -0.070774 
1316.295629 -0.070395 
1316.299698 -0.066922 
1316.303768 -0.062325 
1316.307837 -0.063542 
1316.311907 -0.061098 
1316.315976 -0.061512 
1316.320046 -0.052790 
1316.324116 -0.050711 
1316.328185 -0.045529 
1316.332255 -0.042454 
1316.336325 -0.034844 
1316.340394 -0.027745 
1316.344464 -0.023076 
1316.348534 -0.019601 
1316.352604 -0.018247 
1316.356674 -0.015651 
1316.360743 -0.008518 
1316.364813 -0.008333 
1316.368883 -0.009815 
1316.372953 -0.009752 
1316.377023 -0.006287 
1316.381093 -0.004942 
1316.385163 -0.003045 
1316.389233 0.000012 
1316.393303 -0.000583 
1316.397373 -0.001573 
1316.401443 0.000800 
1316.405513 -0.001911 
1316.409584 -0.000564 
1316.413654 0.001408 
1316.417724 0.000212 
1316.421794 -0.002067 
1316.425864 0.000540 
1316.429935 -0.000223 
1316.434005 0.002251 
1316.438075 -0.002753 
1316.442146 -0.005088 
1316.446216 -0.000407 
1316.450286 0.001487 
1316.454357 0.000995 
