# ASCII dump of profile. Original file: /gereb/Absorption/Stacking/58/mHan
# Position of profile (2 dimensions):
# Ra 13h 52m 17.881s                        linear co-oridinate: 128
# Dec 31d 26m 46.50s                        linear co-oridinate: 128
# 1 individual profile was used to produce this profile
# X axis name: "FREQ-HEL"  Y axis name: "JY/BEAM"
# 185 values follow
1.3596020717129e+09    -1.1029130965471e-01
1.3595239467158e+09    -1.3231438398361e-01
1.3594458217186e+09    -1.6216237843037e-01
1.3593676967215e+09    -2.0217970013618e-01
1.3592895717243e+09    -1.9869542121887e-01
1.3592114467272e+09    -1.2160950899124e-01
1.3591333217300e+09    -4.7879405319691e-02
1.3590551967329e+09    -2.1745614707470e-02
1.3589770717357e+09    -1.7816407606006e-02
1.3588989467386e+09    -1.8954085186124e-02
1.3588208217414e+09    -2.1128198131919e-02
1.3587426967443e+09    -2.3072764277458e-02
1.3586645717471e+09    -2.3624639958143e-02
1.3585864467500e+09    -2.1186126396060e-02
1.3585083217528e+09    -1.6238601878285e-02
1.3584301967557e+09    -1.1450148187578e-02
1.3583520717585e+09    -8.3066998049617e-03
1.3582739467614e+09    -6.8074879236519e-03
1.3581958217642e+09    -5.9129269793630e-03
1.3581176967671e+09    -4.8670340329409e-03
1.3580395717699e+09    -4.0039480663836e-03
1.3579614467728e+09    -2.9774920549244e-03
1.3578833217757e+09    -2.0672073587775e-03
1.3578051967785e+09    -1.1509304167703e-03
1.3577270717814e+09    5.5366754531860e-04
1.3576489467842e+09    1.1152443476021e-03
1.3575708217871e+09    3.0826803413220e-04
1.3574926967899e+09    -2.8532263240777e-04
1.3574145717928e+09    -8.4831402637064e-04
1.3573364467956e+09    -1.0546464473009e-03
1.3572583217985e+09    -2.4094255059026e-04
1.3571801968013e+09    6.2004226492718e-04
1.3571020718042e+09    1.1658435687423e-04
1.3570239468070e+09    -3.6729796556756e-04
1.3569458218099e+09    4.1369101381861e-04
1.3568676968127e+09    7.7177712228149e-04
1.3567895718156e+09    3.3518439158797e-04
1.3567114468184e+09    -1.0394115815870e-04
1.3566333218213e+09    4.4158892706037e-05
1.3565551968241e+09    5.8427167823538e-04
1.3564770718270e+09    8.2047900650650e-04
1.3563989468298e+09    1.2649673735723e-03
1.3563208218327e+09    1.3046382227913e-03
1.3562426968355e+09    2.9988144524395e-04
1.3561645718384e+09    -7.4542162474245e-04
1.3560864468412e+09    -7.8393454896286e-04
1.3560083218441e+09    3.1608971767128e-04
1.3559301968469e+09    1.2113325065002e-03
1.3558520718498e+09    7.6573126716539e-04
1.3557739468526e+09    -1.4748927787878e-04
1.3556958218555e+09    -1.3694283552468e-04
1.3556176968583e+09    8.4071827586740e-04
1.3555395718612e+09    1.3435984728858e-03
1.3554614468640e+09    5.8071897365153e-04
1.3553833218669e+09    -1.7293752171099e-04
1.3553051968697e+09    -8.4065257397015e-05
1.3552270718726e+09    4.8020487884060e-04
1.3551489468754e+09    9.6346915233880e-04
1.3550708218783e+09    7.8686384949833e-04
1.3549926968811e+09    9.7058800747618e-04
1.3549145718840e+09    1.9246144220233e-03
1.3548364468868e+09    1.6163059044629e-03
1.3547583218897e+09    2.1998985903338e-04
1.3546801968925e+09    -3.9286591345444e-04
1.3546020718954e+09    -2.3337695165537e-04
1.3545239468982e+09    3.2820214983076e-04
1.3544458219011e+09    4.4131503091194e-04
1.3543676969039e+09    -4.1605497244745e-04
1.3542895719068e+09    -9.2420028522611e-04
1.3542114469096e+09    -5.4287357488647e-04
1.3541333219125e+09    -7.8106422733981e-05
1.3540551969153e+09    -4.5816187048331e-04
1.3539770719182e+09    -1.0536353802308e-03
1.3538989469211e+09    -7.6321436790749e-04
1.3538208219239e+09    -6.9498934317380e-04
1.3537426969268e+09    -1.2187913525850e-03
1.3536645719296e+09    -9.7047630697489e-04
1.3535864469325e+09    -2.5798706337810e-04
1.3535083219353e+09    -2.0416773622856e-04
1.3534301969382e+09    -5.1251146942377e-04
1.3533520719410e+09    -4.9683847464621e-04
1.3532739469439e+09    -3.9977877167985e-04
1.3531958219467e+09    -8.2748010754585e-04
1.3531176969496e+09    -1.2638190528378e-03
1.3530395719524e+09    -9.0455729514360e-04
1.3529614469553e+09    -2.8919189935550e-04
1.3528833219581e+09    3.7950143450871e-05
1.3528051969610e+09    4.3605081737041e-04
1.3527270719638e+09    6.1775353970006e-04
1.3526489469667e+09    7.7274837531149e-04
1.3525708219695e+09    1.2914388207719e-03
1.3524926969724e+09    9.3379768077284e-04
1.3524145719752e+09    -1.1784381058533e-04
1.3523364469781e+09    -2.4788040900603e-04
1.3522583219809e+09    2.1364678104874e-05
1.3521801969838e+09    -2.3927417350933e-04
1.3521020719866e+09    -5.2207068074495e-04
1.3520239469895e+09    -2.6423492818139e-04
1.3519458219923e+09    3.2671270309947e-04
