# J2000                 RA         Dec         z            S_cont[mJy]          Radio_Power[log(W/Hz)]   Detection   Compact_0_Extended_1   WISE_type_[0_12_1_dp_2_46]   RMS_[mJy]             3*RMS_[tau]             tau_[-]                 tau_dv[kms]      w50_[km/s]           dw50_[km/s]          w20_[km/s]           dw20_[km/s]          cen_[km/s]            dcen_[km/s]           peak_pos_[km/s]       Rmag_[SDSS]   e_Rmag_[SDSS]   Zmag_[SDSS]   e_Zmag_[SDSS]   Kmag_[2MASS]   e_Kmag_[2MASS]   W1mag_[WISE]   e_W1mag_[WISE]   W2mag_[WISE]   e_W2mag_[WISE]   W3mag_[WISE]   e_W3mag_[WISE]   W4mag_[WISE]   e_W4mag_[WISE]   FIRST_peak[mJy]      FIRST_integr[mJy]   
  J083637.84+440109.6   08:36:38   +44:01:10   0.05542      134.0                23.99136668254139        1.0         0.0                    2.0                          0.6446324323333333    0.014537224658993675    0.01600000075995922     1.36592722976    77.91999816894531    17.3799991607666     206.39999389648438   26.799999237060547   25.670000076293945    13.270000457763672    77.52999877929688     15.204364     0.002668488     14.344777     0.0047554104    13.043         0.04             12.327         0.024            12.254         0.025            9.823          0.044            7.493          0.123            132.4199981689453    139.3000030517578   
  J083903.08+401545.6   08:39:03   +40:15:46   0.1941434    40.064111352         24.6342905853227         0.0         1.0                    1.0                          0.6549999713897705    0.0494517380065         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.853746     0.004966805     15.9983635    0.008919416     14.173         0.069            13.297         0.027            12.917         0.028            11.45          0.144            8.883          0.383            32.880001068115234   38.54306            
  J083915.82+285038.7   08:39:16   +28:50:39   0.078961     126.0                24.286701367904907       0.0         1.0                    1.0                          0.9549756833572194    0.023000000044703504    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    14.249531     0.0020920471    13.449842     0.003477431     12.533         0.038            11.628         0.024            11.605         0.024            10.66          0.104            8.585          0.386            122.91999816894531   125.94000244140625  
  J084307.11+453742.8   08:43:07   +45:37:43   0.191947     331.0                25.54033956996721        1.0         0.0                    2.0                          1.9347027026666668    0.017690630341624394    0.27300000190734863     25.8581504644    79.16000366210938    37.16999816894531    126.75               19.979999542236328   57.849998474121094    59.029998779296875    89.04000091552734     17.563498     0.0077546765    16.630463     0.017180625     14.65          0.098            13.826         0.027            13.413         0.035            11.279         0.13             8.486          0.258            258.760009765625     264.55999755859375  
  J084359.13+510524.9   08:43:59   +51:05:25   0.126344     79.02999877929688    24.519814172670426       0.0         1.0                    1.0                          1.0582346323646574    0.041000001132488216    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.647318     0.0034854526    14.804474     0.006893584     13.644         0.062            12.803         0.024            12.623         0.025            11.77          0.196            8.555          ""               63.84000015258789    77.55000305175781   
  J084522.15+112550.4   08:45:22   +11:25:55   0.06623697   159.874737263        24.22956511138882        0.0         1.0                    1.0                          1.2400000095367432    0.0233589207967         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    14.698728     0.0023599723    13.853568     0.0036549764    13.222         0.073            12.171         0.025            12.143         0.024            11.247         0.167            8.995          ""               124.04000091552734   168.8203            
  J084712.92+113350.1   08:47:13   +11:33:50   0.1984133    32.972715795         24.570824005096288       0.0         0.0                    0.0                          1.4800000190734863    0.137772452717          ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.386875     0.0050994544    16.82686      0.01074136      14.755         0.101            13.383         0.025            12.773         0.029            10.962         0.121            8.883          0.531            32.720001220703125   34.37263            
  J090100.09+103701.7   09:01:00   +10:37:02   0.02945949   45.9574051201        22.960894322273745       0.0         1.0                    1.0                          0.7820000052452087    0.0514865628798         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    13.062085     0.0016418034    12.313881     0.0020886937    11.812         0.064            10.721         0.022            10.787         0.021            9.843          0.047            8.038          0.205            32.380001068115234   44.85633            
  J090105.25+290146.9   09:01:05   +29:01:47   0.194045     1670.0               26.253759926967824       0.0         1.0                    2.0                          0.5563884525017623    0.0010000000474974873   ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.628128     0.006806158     16.921673     0.01498474      15.2           0.19             14.338         0.032            13.857         0.048            11.37          0.175            8.422          ""               731.6900024414062    1492.6300048828125  
  J090206.46+203037.6   09:02:06   +20:30:38   0.08145704   57.0162385702        23.97083921155442        0.0         1.0                    1.0                          0.6240000128746033    0.0330137382828         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.421774     0.002837411     14.64008      0.0050495663    13.32          0.062            12.48          0.025            12.46          0.028            11.788         0.269            8.911          ""               30.68000030517578    64.919              
  J090209.87+283042.9   09:02:10   +28:30:43   0.08485197   34.614097327         23.791474036401187       0.0         0.0                    1.0                          0.6060000061988831    0.0529871500271         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.701456     0.0029721954    14.812264     0.005238333     13.115         0.05             12.479         0.024            12.424         0.026            11.708         0.234            8.847          ""               31.809999465942383   33.00943            
  J090325.54+162256.0   09:03:26   +16:22:56   0.1823215    47.8130765259        24.650463620448214       2.0         0.0                    0.0                          1.25                  0.079473875234          0.0949416               8.97502907384    163.01555056         43.2155111           187.667619402        41.5605650102        2.96617092855         36.5822586972         -43.1248014333        17.609776     0.0068049864    16.727205     0.013199007     14.138         0.059            13.527         0.026            12.898         0.031            8.734          0.029            6.734          0.083            44.25                45.69818            
  J090343.15+265022.5   09:03:43   +26:50:20   0.084306     81.11000061035156    24.155376999011832       0.0         0.0                    1.0                          0.6675376933071245    0.025000000372529082    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.935407     0.0037846428    15.169719     0.007980648     14.258         0.09             13.411         0.028            13.313         0.035            12.469         0.481            8.645          ""               78.43000030517578    80.02999877929688   
  J090426.55+545805.6   09:04:27   +54:58:06   0.1194043    58.5327558219        24.3365634079384         0.0         1.0                    1.0                          1.9500000476837158    0.101646764354          ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.149164     0.003511376     15.385843     0.0070480197    13.631         0.06             13.044         0.023            12.894         0.027            11.654         0.159            9.036          ""               33.25                64.85765            
  J090615.54+463619.0   09:06:16   +46:36:19   0.084697     273.0                24.686707299725306       0.0         0.0                    2.0                          1.1753437372466764    0.01300000026822086     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.599268     0.003011182     14.792115     0.006092257     13.463         0.053            12.611         0.023            12.348         0.026            9.973          0.047            7.358          0.119            306.80999755859375   313.57000732421875  
  J090652.79+412429.7   09:06:53   +41:24:30   0.027358     56.34000015258789    22.983714689591945       0.0         0.0                    1.0                          0.808404676560856     0.043999999761581414    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    13.663285     0.0018572881    12.939548     0.0029099605    12.428         0.053            11.354         0.024            11.405         0.022            10.288         0.051            8.399          0.19             56.0                 58.209999084472656  
  J090734.91+325722.9   09:07:35   +32:57:23   0.04906128   44.5280075073        23.402923420288445       1.0         1.0                    0.0                          0.9340000152587891    0.0635960248951         0.420629                27.8366534867    91.279284339         37.52073878          129.809504349        40.9305506063        2.19371565905         4.26058138704         2.19371565905         14.942137     0.0029332703    14.117592     0.004905882     12.862         0.059            11.455         0.021            10.941         0.021            7.014          0.015            5.04           0.028            37.279998779296875   42.93795            
  J090937.44+192808.2   09:09:37   +19:28:08   0.027843     63.33000183105469    23.050079173704113       1.0         0.0                    2.0                          0.6832810810000001    0.032903066087088456    0.11900000274181366     14.8225506293    118.93000030517578   5.679999828338623    181.97999572753906   6.25                 -38.790000915527344   2.5199999809265137    -33.689998626708984   13.775998     0.001854166     12.973104     0.002707682     12.115         0.059            11.072         0.022            10.837         0.021            8.107          0.019            6.058          0.043            64.02999877929688    68.62999725341797   
  J091039.92+184147.7   09:10:40   +18:41:48   0.02837947   48.0861999094        22.947411637468434       0.0         1.0                    1.0                          1.0                   0.0630458077191         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    13.455233     0.0017938828    12.668312     0.0023575583    12.518         0.066            11.068         0.021            11.112         0.022            10.12          0.061            8.306          ""               40.130001068115234   47.35501            
  J091218.36+483045.1   09:12:18   +48:30:45   0.117168     143.13999938964844   24.70716678529006        0.0         1.0                    1.0                          1.317443093170694     0.0280000008642674      ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.521261     0.0030835075    14.690111     0.0060513257    13.514         0.072            12.646         0.024            12.524         0.025            11.569         0.187            8.435          ""               67.87000274658203    197.60000610351562  
  J091651.94+523828.3   09:16:52   +52:38:29   0.190385     63.0099983215332     24.812016971017425       0.0         1.0                    1.0                          1.1041009882357788    0.05400000140070921     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.858665     0.0047724633    16.173567     0.0107620945    14.104         0.079            13.255         0.025            12.814         0.028            11.277         0.128            8.31           ""               68.83000183105469    72.55999755859375   
  J092151.49+332406.7   09:21:51   +33:24:07   0.0235714    51.1631630361        22.810185358213865       0.0         1.0                    1.0                          0.6100000143051147    0.0359828556477         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    13.012886     0.0016397688    12.307466     0.0022006223    11.559         0.028            10.79          0.023            10.873         0.022            10.077         0.05             8.077          0.198            37.91999816894531    68.96468            
  J092405.30+141021.4   09:24:05   +14:10:22   0.1356073    120.014183223        24.767915569549757       0.0         0.0                    1.0                          1.4700000286102295    0.0369725521136         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.86362      0.007283801     17.22001      0.015138102     13.933         0.073            13.062         0.025            12.909         0.029            11.663         0.22             8.414          0.28             105.19999694824219   108.2472            
  J092445.88+304933.0   09:24:46   +30:49:33   0.2118033    42.3187613487        24.742603025615523       0.0         1.0                    1.0                          1.5700000524520874    0.113415226649          ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.06776      0.005403004     16.191877     0.011102274     14.461         0.089            13.672         0.026            13.42          0.037            12.13          ""               8.394          ""               31.940000534057617   55.88744            
  J092511.57+190713.1   09:25:12   +19:07:13   0.1290619    38.2294021547        24.224411489066007       0.0         0.0                    2.0                          1.0299999713897705    0.0819366582811         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.929333     0.0052573173    16.035295     0.009929824     14.258         0.072            13.713         0.027            13.492         0.037            11.594         0.204            8.559          ""               39.349998474121094   40.16518            
  J092740.64+554548.0   09:27:41   +55:45:48   0.2209782    64.1789063811        24.964929998780566       0.0         1.0                    2.0                          0.8159999847412109    0.0383879348937         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.424961     0.0060040336    16.60358      0.012601285     14.543         0.087            13.79          0.03             13.421         0.036            11.575         0.184            8.517          ""               33.97999954223633    42.271              
  J093004.05+341326.5   09:30:04   +34:13:25   0.04207806   30.4269809276        23.100016935827107       0.0         0.0                    1.0                          0.5080000162124634    0.0505099580496         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    14.339833     0.0020901675    13.557004     0.003159195     12.365         0.029            11.645         0.021            11.647         0.022            10.128         0.055            8.32           0.273            30.280000686645508   30.764              
