,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
58,J153452.95+290919.8.txt,0.00631034,0.281325,1.38963,0.0883501,139.345,144.185,13.8161,1.47447,142.085,556.791,611.721,0.0340473,10.919
59,J155902.70+230830.4.txt,0.0302791,5.30416,6.14357,0.0,129.962,0.1,11.0275,0.0,41.0716,434.017,438.944,0.0302791,13.1411
60,J160246.39+524358.3.txt,71.5295,0.0364252,0.161913,0.0619991,120.743,83.7522,-36.014,2.06563,-202.735,448.433,624.031,0.008998,3.3609
61,J160332.08+171155.3.txt,0.0499573,0.707632,0.714115,0.479268,93.4363,91.2493,1.08277,0.697656,-4.52621,46.5157,70.0374,0.0687563,3.39048
62,J160338.06+155402.5.txt,0.0704052,0.271232,0.230876,0.00041876,93.1035,94.01,5.67642,4.49979,-30.4126,348.911,447.286,0.1209,31.6726
63,J160952.60+133148.0.txt,0.0369263,6.86281,0.553274,0.10409,129.624,129.235,7.62999,1.71906,40.3886,267.235,287.481,0.143542,22.2348
64,J161217.62+282546.4.txt,0.0510445,0.474652,0.615598,0.0,92.9114,0.1,1.99573,0.0,-5.69288,76.4961,112.209,0.0446438,3.54795
65,J161740.53+350015.1.txt,7.22846e-08,6.72902,1.37457,129022.0,116.327,116.807,3.32755,0.630644,-200.05,111.317,122.348,0.0203529,1.39946
66,J163804.02+264329.1.txt,0.0474418,0.294018,0.389551,0.0344014,130.403,129.427,1.87848,3.80497,54.5938,71.8873,246.621,0.0982977,11.7211
67,J163844.80+275439.1.txt,0.429767,0.501646,0.0872936,0.0,99.2208,0.1,-0.446321,0.0,-427.919,136.493,234.159,0.142963,22.2474
68,J163956.07+112757.4.txt,0.250858,0.953804,1.08895,0.0,126.38,0.1,1.14076,0.0,-27.121,43.6543,63.4007,0.22617,10.1979
69,J170815.25+211117.7.txt,0.15604,0.376381,0.20616,0.0,128.791,0.1,4.19664,0.0,28.3312,183.398,268.024,0.139603,26.512
70,SPEC_J0919+0146.DAT,0.0277492,4.88384,3.80026,0.0,8.38865,0.1,0.418899,0.0,552.619,1.68787,2.26069,0.0273132,0.0460384
0,0201+113_gmrt.freq,0.0482388,1.61286,0.533665,0.0,33.1081,0.1,1.32898,0.0,-2.8371,20.9384,31.0398,0.0428916,0.932683
1,0235+164_gmrt.freq,7241610.0,0.362251,0.0157882,0.0,-77.1956,0.1,-146.082,0.0,-46.7781,22.4245,40.9686,0.000156375,0.00429033
2,0237-233_gbt.freq,232.535,7.73354,0.257178,0.0,35.3667,0.1,-4.70208,0.0,-4.35092,1.46113,3.01623,0.0563409,0.106409
3,0311+430_gmrt.freq,0.128997,0.13103,0.0288982,0.0,211.759,0.1,-13.4457,0.0,62.1303,56.5135,94.5364,0.0102793,0.660517
4,0438-436_gbt.freq,0.320591,0.895054,0.103037,0.0,20.3699,0.1,-6.62416,0.0,21.208,30.9212,54.9156,0.00550234,0.201583
5,0458-020_highz_gbt.freq,0.0631255,0.246527,0.266404,0.16332,58.9439,61.2721,7.69484,1.03244,-2.42253,27.0166,34.5611,0.119744,2.8245
6,0458-020_lowz_gbt.freq,0.0286469,0.400807,0.317815,0.0213811,114.504,116.365,0.243316,4.05262,0.718447,5.25767,9.92608,0.0241166,0.156679
7,0738+313_z0.0912_gmrt.freq,0.471208,0.158163,0.1812,0.0,66.0554,0.1,-0.00364887,0.0,9.32072,3.95284,6.08711,0.118138,0.501294
8,0738+313_z0.2212_wsrt.freq,0.122354,0.0853092,0.159573,0.0,499.6,0.1,5.06133,0.0,11.6912,4.97299,7.71416,0.0779259,0.415724
9,0801+303_gmrt.freq,0.0040166,4.65429,0.0766975,0.0,36.3322,0.1,10.2375,0.0,31.156,74.6134,102.91,0.00395399,0.297696
10,0827+243_gmrt.freq,0.00619194,0.205319,0.339643,0.0340067,51.8984,42.0085,2.66968,1.01154,10.9705,35.987,55.3995,0.00590232,0.226888
11,0952+179_gmrt.freq,0.0102747,0.217749,0.250148,0.0,71.5322,0.1,8.48368,0.0,2.82836,8.67779,11.2783,0.0102213,0.0889546
12,1127-145_gmrt.freq,0.0964366,0.0810922,0.333855,0.0,62.8958,0.1,8.94691,0.0,4.99458,40.9587,59.8432,0.0889555,3.75559
13,1157+014_gbt.freq,0.0464422,5.2913,0.366545,0.0,32.1665,0.1,2.1935,0.0,6.01188,16.8583,23.4043,0.0454793,0.774049
14,1229-021_gmrt.freq,610266000.0,0.55528,0.0723962,0.0,8.21998,0.1,-30.538,0.0,-0.783212,17.4995,28.021,0.0613275,1.19532
15,1243_gmrt.vel,89.7395,0.242463,0.0511969,0.0,34.5211,0.1,-20.4283,0.0,-0.16074,10.59,17.0816,0.0700934,0.828922
16,1331+170_arecibo.freq,2.48496,6.86791,0.147231,0.0,-1.77398,0.1,-2.28921,0.0,-88.9237,1.61851,3.20589,0.385627,0.776765
17,1331+305_gbt.freq,2546140000.0,0.018301,0.0960504,0.0,384.765,0.1,-122.927,0.0,9.02634,8.51967,13.2823,0.144431,1.3394
18,1429+400_gbt.freq,0.142589,0.195288,0.107054,0.0101024,119.537,122.253,0.421191,3.59448,-383.773,22.1231,26.4076,0.194138,2.98043
19,1430-kpec09.dat,0.00232778,0.0378078,0.998255,0.0,187.251,0.1,42.6323,0.0,-61.1917,37.6722,44.8928,0.00232777,0.0876924
20,1621+074_gmrt.freq,0.277132,0.182367,4.69558,0.0,28.4822,0.1,-1.57454,0.0,7.25895,15.7421,30.6538,0.0505771,0.975491
21,1629+120_gmrt.freq,1.80343,0.149765,0.0271918,0.0532173,38.6401,72.0052,-25.9398,1.2884,-7.07999,10.8579,23.3141,0.0354017,0.496383
22,1755+578_gmrt.freq,0.0274237,3.77523,4.25775,0.0,47.0767,0.1,0.835635,0.0,160.309,50.9671,61.5581,0.0274234,1.40188
23,1830-211_cdn99.DAT,0.00259411,0.516735,0.298349,1.78893,21.1328,25.4186,5.51763,1.14826,-72.411,215.611,322.826,0.048142,11.2617
24,1850+402_gmrt.freq,1.02191,0.401465,0.0317973,0.0,154.098,0.1,-13.8874,0.0,127.241,30.2782,56.2265,0.0817215,2.99116
25,2003-025_gmrt.freq,0.00335413,1.36937,0.566539,0.241595,63.6954,61.489,5.35535,0.630629,54.3343,43.1517,49.0393,0.00548188,0.210111
26,2039+187_gbt.freq,321650000.0,0.415528,0.0177634,0.0,-17.33,0.1,-125.944,0.0,-65.0983,13.1369,24.14,0.0254949,0.411289
27,2337-011_gmrt.freq,0.354658,1.15942,1.6711,0.0,40.3222,0.1,1.44644,0.0,33.6441,5.64277,7.35736,0.352808,1.99715
28,2351+456_gmrt.freq,0.45862,0.142914,0.0729359,0.0,205.838,0.1,6.17144,0.0,6.60372,56.3661,87.4096,0.3026,18.2805
29,2355-106_gmrt.freq,0.00989897,0.510854,4.10853,0.000413413,106.424,107.516,0.774123,8.51944,44.7443,4.66348,7.26264,0.0445077,0.244832
30,SPEC_J0041S.DAT,5.40346,3.81256,0.0577142,0.0704594,495.683,494.011,3.44544,1.18625,-474.979,46.3768,63.7642,4.09564,88.1452
31,SPEC_J0849_2.DAT,0.0178813,0.832353,0.69965,0.0298719,237.065,237.848,4.63741,3.25362,-5.9349,6.75662,26.3763,0.0815362,0.945795
32,SPEC_J0921+6215.DAT,0.0122956,5.3782,4.9442,0.50252,257.12,254.782,3.87153,0.993336,0.654947,7.84677,14.2892,0.0476799,0.398629
33,SPEC_J1241.DAT,0.00237055,1.00769,0.555483,0.261288,59.2547,59.8427,3.76234,2.4385,-11.0836,9.76895,39.2606,0.0144453,0.250238
34,SPEC_J1243.DAT,0.104011,0.27663,4.63655,0.110873,46.1679,44.0647,0.573672,4.43363,9.37784,2.48263,4.65363,0.439386,2.6776
35,SPEC_J1255+1817.DAT,5.43014e-07,0.322989,6.85366,2535.58,966.391,975.233,14.4526,1.3697,-1.31499,25.0889,39.5704,0.0778451,2.10906
36,SPEC_J1327+4326.DAT,0.0382869,3.76295,4.55158,0.0,1118.64,0.1,0.405499,0.0,338.648,1.83817,2.51534,0.0372683,0.0691249
37,SPEC_J1342+5110.DAT,0.065953,0.110019,0.387002,0.0,234.553,0.1,12.428,0.0,3.20148,53.7665,68.7655,0.0658086,3.54288
38,SPEC_J1428.DAT,596828.0,0.341363,0.744953,0.0561175,236.719,233.156,-5.34091,6.7666,3.95672,10.1067,16.8452,0.250186,2.3002
39,SPEC_J1438d.DAT,0.313898,0.208432,0.386776,0.0,249.837,0.1,3.98484,0.0,-3.10769,17.1986,25.2765,0.27727,4.95064
40,SPEC_J1443.DAT,5226290000.0,0.08958,0.556367,0.0,274.913,0.1,-24.9846,0.0,0.228295,8.42792,13.2778,0.333913,3.08843
41,SPEC_J1551.DAT,17341300.0,7.80082,-0.00203724,0.0,1382.37,0.1,877.251,0.0,633.429,-62.1232,-107.205,4.07983,53.1444
42,SPEC_J1639.DAT,0.480948,0.210122,0.135741,0.0201484,238.244,253.009,13.1337,0.984634,-1.40046,23.0076,30.3062,0.661494,15.0451
43,SPEC_J2219+0229.DAT,0.289193,0.222174,0.222194,0.0894845,573.187,572.297,-1.56163,3.56162,4.28308,11.0936,36.0769,0.250818,3.94568
